,date,content,url,hashtags,topic
396,2015-01-24 22:57:51+00:00,"George Lucas on #OscarsSoWhite: 'It's not just the show,' it's Hollywood http://t.co/fLc9SvbOi2",https://twitter.com/BuzzRev/status/559122941288669188,['OscarsSoWhite'],oscars
397,2015-01-24 22:41:48+00:00,strafor gibi yıl valla. #OscarsSoWhite.,https://twitter.com/selindelioglu/status/559118901167271936,['OscarsSoWhite'],oscars
398,2015-01-24 22:37:11+00:00,#Oscars2015 opt for a rather white poster #OscarsSoWhite http://t.co/zYhr4HxjYf,https://twitter.com/DonnaPeberdy/status/559117738262937602,"['Oscars2015', 'OscarsSoWhite']",oscars
399,2015-01-24 22:34:13+00:00,"George Lucas on #OscarsSoWhite: 'It's not just the show,' it's Hollywood http://t.co/Lhy1KYBviQ",https://twitter.com/UPROXXMovies/status/559116991483887620,['OscarsSoWhite'],oscars
400,2015-01-24 20:37:12+00:00,Just saw #Selma. I cannot believe they were snubbed by the #Oscars2015. Actually...I can #OscarsSoWhite,https://twitter.com/killer_rabbit90/status/559087545418792960,"['Selma', 'Oscars2015', 'OscarsSoWhite']",oscars
401,2015-01-24 20:01:19+00:00,@latinorebels @rj4gui4r yeah! appreciated the #OscarsSoWhite connection,https://twitter.com/spelledDeivid/status/559078513383575553,['OscarsSoWhite'],oscars
402,2015-01-24 20:01:10+00:00,Have you followed the #OscarsSoWhite hashtag? The Academy's first black president has an answer for you:  http://t.co/yAi54cDALO,https://twitter.com/tweetTheChat/status/559078476058476544,['OscarsSoWhite'],oscars
403,2015-01-24 19:50:30+00:00,I would love to see s greater cultural diversity among all our nominees. #OscarsSoWhite #Oscars2015 #OscarNoms,https://twitter.com/MizTic0/status/559075790550491138,"['OscarsSoWhite', 'Oscars2015', 'OscarNoms']",oscars
404,2015-01-24 19:01:10+00:00,And the winner for #bestactor in a supporting role is @BenAffleck 's dick in #GoneGirl #Oscars2015 #OscarsSoWhite,https://twitter.com/Herrmann_Turme/status/559063376438235137,"['bestactor', 'GoneGirl', 'Oscars2015', 'OscarsSoWhite']",oscars
405,2015-01-24 18:56:31+00:00,Boyhood = YAWN. #OscarsSoWhite,https://twitter.com/jenniferleekoh/status/559062206122172418,['OscarsSoWhite'],oscars
406,2015-01-24 18:00:31+00:00,Photoset: micdotcom: Twitter users call out the Oscars with #OscarsSoWhite http://t.co/zy6JPR0X8Y,https://twitter.com/JosephGlass/status/559048113294671872,['OscarsSoWhite'],oscars
407,2015-01-24 17:48:30+00:00,Watching Oprah make her way back to the silver screen after what has been an eternity @SelmaMovie #OscarsSoWhite,https://twitter.com/supamodo/status/559045090895605761,['OscarsSoWhite'],oscars
408,2015-01-24 17:07:29+00:00,"Top of the hour (10am) on http://t.co/8RawlzCOxt #civilrights, #OscarsSoWhite w/ @MychalWilsonEsq, #DeflateGate w/ @AdamHeller &amp; more!",https://twitter.com/CSKeysShow/status/559034767841062912,"['civilrights', 'OscarsSoWhite', 'DeflateGate']",oscars
409,2015-01-24 16:54:36+00:00,David Ayelowo is sublime... Cc @SelmaMovie #OscarsSoWhite,https://twitter.com/supamodo/status/559031523702505473,['OscarsSoWhite'],oscars
410,2015-01-24 16:33:04+00:00,With all the controversies over #OscarsSoWhite and #SelmaMovie I'm realizing what the world really looks like. http://t.co/nbKsRhVkNN,https://twitter.com/jackieOnot/status/559026104359727107,"['OscarsSoWhite', 'SelmaMovie']",oscars
411,2015-01-24 15:38:59+00:00,Hands down best article on #Oscars2015: “American Hyper-Masculine” by @imransiddiquee http://t.co/tl0tOfbRN5 #OscarsSoWhite #OscarsSoMale,https://twitter.com/miminiLiz/status/559012497165127680,"['Oscars2015', 'OscarsSoWhite', 'OscarsSoMale']",oscars
412,2015-01-24 15:27:42+00:00,@menes676 #OscarsSoWhite ...numbered by 5.8 million Jews. We must remain one (Blacks &amp; Mexicans) as a force to take back what is ours!,https://twitter.com/prophet4real/status/559009655024656384,['OscarsSoWhite'],oscars
413,2015-01-24 15:25:47+00:00,"@menes676 #OscarsSoWhite  40 million Blacks,  42 million Mexicans ( minus ""other"" latinos) but in the media, Congress, judiciary we're out..",https://twitter.com/prophet4real/status/559009171740180481,['OscarsSoWhite'],oscars
414,2015-01-24 14:48:25+00:00,#OscarsSoWhite #Oscars2015 in the 88-ur his-story of the lily white awards only 24 people of color have won http://t.co/VBLilstpkN,https://twitter.com/nubianbrotha/status/558999771692957697,"['OscarsSoWhite', 'Oscars2015']",oscars
415,2015-01-24 14:40:34+00:00,#OscarsSoWhite in the 88 year his-story of these lily white awards only 24 people of color have won the award http://t.co/VBLilstpkN,https://twitter.com/nubianbrotha/status/558997793302667264,['OscarsSoWhite'],oscars
416,2015-01-24 14:09:57+00:00,#OscarsSoWhite http://t.co/mJaBFgt3R2,https://twitter.com/ChiaVix/status/558990091474178048,['OscarsSoWhite'],oscars
417,2015-01-24 12:52:04+00:00,#Oscars2015 #nominations “‘complicated genius’ profiles http://t.co/fzDCFD9YYP #OscarsSoWhite none tell stories about women,https://twitter.com/murali_enright/status/558970490664923136,"['Oscars2015', 'nominations', 'OscarsSoWhite']",oscars
418,2015-01-24 12:12:43+00:00,RT @amandaseales: For everyone lying to themselves. #oscarssowhite http://t.co/FJRcM4MDq1,https://twitter.com/iamtfloyd/status/558960588169445376,['oscarssowhite'],oscars
419,2015-01-24 05:21:09+00:00,@ThinkingLWNJ @carlsbadbugkil1 @Stompy_0487 @Allentownmike @FrozenSoda8 but still #OscarsSoWhite is what gets trending.,https://twitter.com/sholt87/status/558857013799571456,['OscarsSoWhite'],oscars
